design,criteria,material,response
kitchen utensil grip,lightweight,steel,6
kitchen utensil grip,lightweight,aluminium,4
kitchen utensil grip,lightweight,titanium,10
kitchen utensil grip,lightweight,glass,1
kitchen utensil grip,lightweight,wood,3
kitchen utensil grip,lightweight,thermoplastic,7
kitchen utensil grip,lightweight,elastomer,9
kitchen utensil grip,lightweight,thermoset,8
kitchen utensil grip,lightweight,composite,5
kitchen utensil grip,heat resistant,steel,3
kitchen utensil grip,heat resistant,aluminium,2
kitchen utensil grip,heat resistant,titanium,4
kitchen utensil grip,heat resistant,glass,1
kitchen utensil grip,heat resistant,wood,7
kitchen utensil grip,heat resistant,thermoplastic,6
kitchen utensil grip,heat resistant,elastomer,8
kitchen utensil grip,heat resistant,thermoset,5
kitchen utensil grip,heat resistant,composite,9
kitchen utensil grip,corrosion resistant,steel,7
kitchen utensil grip,corrosion resistant,aluminium,4
kitchen utensil grip,corrosion resistant,titanium,3
kitchen utensil grip,corrosion resistant,glass,1
kitchen utensil grip,corrosion resistant,wood,3
kitchen utensil grip,corrosion resistant,thermoplastic,7
kitchen utensil grip,corrosion resistant,elastomer,9
kitchen utensil grip,corrosion resistant,thermoset,6
kitchen utensil grip,corrosion resistant,composite,9
kitchen utensil grip,high strength,steel,7
kitchen utensil grip,high strength,aluminium,5
kitchen utensil grip,high strength,titanium,10
kitchen utensil grip,high strength,glass,0
kitchen utensil grip,high strength,wood,3
kitchen utensil grip,high strength,thermoplastic,6
kitchen utensil grip,high strength,elastomer,4
kitchen utensil grip,high strength,thermoset,8
kitchen utensil grip,high strength,composite,2
spacecraft component,lightweight,steel,0
spacecraft component,lightweight,aluminium,5
spacecraft component,lightweight,titanium,5
spacecraft component,lightweight,glass,0
spacecraft component,lightweight,wood,0
spacecraft component,lightweight,thermoplastic,0
spacecraft component,lightweight,elastomer,0
spacecraft component,lightweight,thermoset,0
spacecraft component,lightweight,composite,0
spacecraft component,heat resistant,steel,0
spacecraft component,heat resistant,aluminium,5
spacecraft component,heat resistant,titanium,5
spacecraft component,heat resistant,glass,0
spacecraft component,heat resistant,wood,0
spacecraft component,heat resistant,thermoplastic,0
spacecraft component,heat resistant,elastomer,0
spacecraft component,heat resistant,thermoset,0
spacecraft component,heat resistant,composite,0
spacecraft component,corrosion resistant,steel,3
spacecraft component,corrosion resistant,aluminium,5
spacecraft component,corrosion resistant,titanium,10
spacecraft component,corrosion resistant,glass,1
spacecraft component,corrosion resistant,wood,2
spacecraft component,corrosion resistant,thermoplastic,7
spacecraft component,corrosion resistant,elastomer,6
spacecraft component,corrosion resistant,thermoset,8
spacecraft component,corrosion resistant,composite,4
spacecraft component,high strength,steel,8
spacecraft component,high strength,aluminium,6
spacecraft component,high strength,titanium,5
spacecraft component,high strength,glass,1
spacecraft component,high strength,wood,2
spacecraft component,high strength,thermoplastic,3
spacecraft component,high strength,elastomer,7
spacecraft component,high strength,thermoset,4
spacecraft component,high strength,composite,9
underwater component,lightweight,steel,1
underwater component,lightweight,aluminium,6
underwater component,lightweight,titanium,3
underwater component,lightweight,glass,2
underwater component,lightweight,wood,5
underwater component,lightweight,thermoplastic,7
underwater component,lightweight,elastomer,8
underwater component,lightweight,thermoset,4
underwater component,lightweight,composite,9
underwater component,heat resistant,steel,5
underwater component,heat resistant,aluminium,5
underwater component,heat resistant,titanium,5
underwater component,heat resistant,glass,0
underwater component,heat resistant,wood,0
underwater component,heat resistant,thermoplastic,7
underwater component,heat resistant,elastomer,7
underwater component,heat resistant,thermoset,7
underwater component,heat resistant,composite,7
underwater component,corrosion resistant,steel,0
underwater component,corrosion resistant,aluminium,2
underwater component,corrosion resistant,titanium,5
underwater component,corrosion resistant,glass,0
underwater component,corrosion resistant,wood,0
underwater component,corrosion resistant,thermoplastic,0
underwater component,corrosion resistant,elastomer,0
underwater component,corrosion resistant,thermoset,0
underwater component,corrosion resistant,composite,0
underwater component,high strength,steel,7
underwater component,high strength,aluminium,5
underwater component,high strength,titanium,2
underwater component,high strength,glass,0
underwater component,high strength,wood,0
underwater component,high strength,thermoplastic,0
underwater component,high strength,elastomer,0
underwater component,high strength,thermoset,0
underwater component,high strength,composite,0
safety helmet,lightweight,steel,0
safety helmet,lightweight,aluminium,2
safety helmet,lightweight,titanium,5
safety helmet,lightweight,glass,1
safety helmet,lightweight,wood,1
safety helmet,lightweight,thermoplastic,3
safety helmet,lightweight,elastomer,7
safety helmet,lightweight,thermoset,6
safety helmet,lightweight,composite,4
safety helmet,heat resistant,steel,0
safety helmet,heat resistant,aluminium,0
safety helmet,heat resistant,titanium,0
safety helmet,heat resistant,glass,0
safety helmet,heat resistant,wood,0
safety helmet,heat resistant,thermoplastic,0
safety helmet,heat resistant,elastomer,0
safety helmet,heat resistant,thermoset,0
safety helmet,heat resistant,composite,0
safety helmet,corrosion resistant,steel,5
safety helmet,corrosion resistant,aluminium,5
safety helmet,corrosion resistant,titanium,5
safety helmet,corrosion resistant,glass,1
safety helmet,corrosion resistant,wood,2
safety helmet,corrosion resistant,thermoplastic,7
safety helmet,corrosion resistant,elastomer,6
safety helmet,corrosion resistant,thermoset,6
safety helmet,corrosion resistant,composite,6
safety helmet,high strength,steel,8
safety helmet,high strength,aluminium,6
safety helmet,high strength,titanium,4
safety helmet,high strength,glass,1
safety helmet,high strength,wood,3
safety helmet,high strength,thermoplastic,2
safety helmet,high strength,elastomer,7
safety helmet,high strength,thermoset,3
safety helmet,high strength,composite,5
